Mon Jul  1 00:43:54 UTC 2024
         date  predic  actual  diff   acc
38 2024-05-13   99.98  100.20  0.22 -0.90
39 2024-05-14  100.01  100.95  0.94  0.04
40 2024-05-15   99.96  100.35  0.39  0.43
41 2024-05-16  100.00   99.58 -0.42  0.01
42 2024-05-17  100.00  100.42  0.42  0.43
43 2024-05-20   99.96  101.38  1.43  1.86
44 2024-05-21   99.98   99.00 -0.98  0.88
45 2024-05-22   99.95   99.98  0.03  0.91
46 2024-05-23   99.80   98.84 -0.96 -0.05
Mean Absolute Error: 0.86%
Epoch: 460, Final Loss: 0.000103
Norm: 45.60
===
         date  predic  actual  diff   acc
0  2024-03-14  100.02   99.83 -0.20 -0.20
1  2024-03-15   99.98  101.15  1.17  0.97
2  2024-03-18  100.05  101.53  1.49  2.46
3  2024-03-20  100.43  102.63  2.19  4.65
4  2024-03-21  100.13  100.95  0.82  5.47
5  2024-03-22   99.89   99.48 -0.41  5.06
6  2024-03-25   99.96   99.03 -0.93  4.13
7  2024-03-26  100.02  100.26  0.24  4.37
8  2024-03-27  100.14  100.38  0.24  4.61
9  2024-03-28  100.02   99.83 -0.19  4.42
10 2024-04-01   99.96   98.98 -0.98  3.44
11 2024-04-02   99.89   99.02 -0.87  2.57
12 2024-04-03  100.01  101.26  1.25  3.82
13 2024-04-04   99.81   97.85 -1.97  1.85
14 2024-04-05  100.13  100.56  0.43  2.28
15 2024-04-08  100.04  100.27  0.23  2.51
16 2024-04-09  100.00  100.27  0.27  2.78
17 2024-04-10   99.99   98.65 -1.34  1.44
18 2024-04-11  100.02  101.69  1.67  3.11
19 2024-04-12   99.86   98.26 -1.59  1.52
20 2024-04-15  100.01   99.12 -0.90  0.62
21 2024-04-16  100.07   99.85 -0.22  0.40
22 2024-04-17   99.97   97.77 -2.20 -1.80
23 2024-04-18  100.05   99.70 -0.35 -2.15
24 2024-04-19  100.08   98.80 -1.27 -3.42
25 2024-04-22  100.12  101.57  1.45 -1.97
26 2024-04-23  100.10  100.61  0.51 -1.46
27 2024-04-24  100.04   99.70 -0.34 -1.80
28 2024-04-25   99.92   99.67 -0.25 -2.05
29 2024-04-29  100.17  101.52  1.35 -0.70
30 2024-04-30   99.94   99.28 -0.67 -1.37
31 2024-05-01   99.78   99.92  0.15 -1.22
32 2024-05-06  100.27  102.21  1.94  0.72
33 2024-05-07  100.09   99.48 -0.60  0.12
34 2024-05-08  100.14   98.96 -1.17 -1.05
35 2024-05-09  100.12  100.48  0.35 -0.70
36 2024-05-10  100.07   99.28 -0.79 -1.49
37 2024-05-13  100.03  100.20  0.17 -1.32
38 2024-05-14  100.07  100.95  0.88 -0.44
39 2024-05-15  100.01  100.35  0.34 -0.10
40 2024-05-16  100.05   99.58 -0.47 -0.57
41 2024-05-17  100.06  100.42  0.36 -0.21
42 2024-05-20  100.00  101.38  1.38  1.17
43 2024-05-21  100.03   99.00 -1.03  0.14
44 2024-05-22   99.99   99.98 -0.02  0.12
45 2024-05-23   99.83   98.84 -0.99 -0.87
46 2024-05-24  100.02  100.85  0.83 -0.04
Mean Absolute Error: 0.84%
Epoch: 335, Final Loss: 0.000099
Norm: 38.02
===
         date  predic  actual  diff   acc
0  2024-03-15   99.98  101.15  1.17  1.17
1  2024-03-18  100.06  101.53  1.47  2.64
2  2024-03-20  100.48  102.63  2.14  4.78
3  2024-03-21  100.15  100.95  0.79  5.57
4  2024-03-22   99.89   99.48 -0.41  5.16
5  2024-03-25   99.97   99.03 -0.94  4.22
6  2024-03-26  100.03  100.26  0.23  4.45
7  2024-03-27  100.17  100.38  0.21  4.66
8  2024-03-28  100.03   99.83 -0.20  4.46
9  2024-04-01   99.96   98.98 -0.98  3.48
10 2024-04-02   99.88   99.02 -0.87  2.61
11 2024-04-03  100.02  101.26  1.24  3.85
12 2024-04-04   99.80   97.85 -1.96  1.89
13 2024-04-05  100.15  100.56  0.41  2.30
14 2024-04-08  100.05  100.27  0.22  2.52
15 2024-04-09  100.01  100.27  0.26  2.78
16 2024-04-10  100.00   98.65 -1.35  1.43
17 2024-04-11  100.03  101.69  1.66  3.09
18 2024-04-12   99.85   98.26 -1.59  1.50
19 2024-04-15  100.02   99.12 -0.91  0.59
20 2024-04-16  100.09   99.85 -0.23  0.36
21 2024-04-17   99.97   97.77 -2.21 -1.85
22 2024-04-18  100.06   99.70 -0.36 -2.21
23 2024-04-19  100.09   98.80 -1.29 -3.50
24 2024-04-22  100.14  101.57  1.43 -2.07
25 2024-04-23  100.12  100.61  0.49 -1.58
26 2024-04-24  100.05   99.70 -0.35 -1.93
27 2024-04-25   99.92   99.67 -0.25 -2.18
28 2024-04-29  100.19  101.52  1.33 -0.85
29 2024-04-30   99.95   99.28 -0.67 -1.52
30 2024-05-01   99.76   99.92  0.16 -1.36
31 2024-05-06  100.31  102.21  1.90  0.54
32 2024-05-07  100.10   99.48 -0.62 -0.08
33 2024-05-08  100.16   98.96 -1.20 -1.28
34 2024-05-09  100.15  100.48  0.33 -0.95
35 2024-05-10  100.09   99.28 -0.81 -1.76
36 2024-05-13  100.04  100.20  0.16 -1.60
37 2024-05-14  100.08  100.95  0.87 -0.73
38 2024-05-15  100.01  100.35  0.33 -0.40
39 2024-05-16  100.07   99.58 -0.49 -0.89
40 2024-05-17  100.07  100.42  0.35 -0.54
41 2024-05-20  100.01  101.38  1.37  0.83
42 2024-05-21  100.04   99.00 -1.04 -0.21
43 2024-05-22  100.00   99.98 -0.03 -0.24
44 2024-05-23   99.82   98.84 -0.98 -1.22
45 2024-05-24  100.03  100.85  0.82 -0.40
46 2024-05-28   99.96  100.27  0.31 -0.09
Mean Absolute Error: 0.84%
Epoch: 349, Final Loss: 0.000098
Norm: 37.60
===
         date  predic  actual  diff   acc
0  2024-03-18   99.99  101.53  1.55  1.55
1  2024-03-20  100.32  102.63  2.30  3.85
2  2024-03-21  100.06  100.95  0.89  4.74
3  2024-03-22   99.85   99.48 -0.37  4.37
4  2024-03-25   99.91   99.03 -0.88  3.49
5  2024-03-26   99.97  100.26  0.30  3.79
6  2024-03-27  100.07  100.38  0.31  4.10
7  2024-03-28   99.97   99.83 -0.13  3.97
8  2024-04-01   99.91   98.98 -0.93  3.04
9  2024-04-02   99.85   99.02 -0.83  2.21
10 2024-04-03   99.96  101.26  1.30  3.51
11 2024-04-04   99.78   97.85 -1.94  1.57
12 2024-04-05  100.06  100.56  0.50  2.07
13 2024-04-08   99.98  100.27  0.29  2.36
14 2024-04-09   99.95  100.27  0.32  2.68
15 2024-04-10   99.94   98.65 -1.29  1.39
16 2024-04-11   99.97  101.69  1.72  3.11
17 2024-04-12   99.82   98.26 -1.56  1.55
18 2024-04-15   99.96   99.12 -0.84  0.71
19 2024-04-16  100.01   99.85 -0.16  0.55
20 2024-04-17   99.92   97.77 -2.15 -1.60
21 2024-04-18   99.99   99.70 -0.29 -1.89
22 2024-04-19  100.01   98.80 -1.21 -3.10
23 2024-04-22  100.05  101.57  1.52 -1.58
24 2024-04-23  100.03  100.61  0.58 -1.00
25 2024-04-24   99.98   99.70 -0.28 -1.28
26 2024-04-25   99.88   99.67 -0.21 -1.49
27 2024-04-29  100.09  101.52  1.43 -0.06
28 2024-04-30   99.90   99.28 -0.62 -0.68
29 2024-05-01   99.75   99.92  0.17 -0.51
30 2024-05-06  100.18  102.21  2.03  1.52
31 2024-05-07  100.02   99.48 -0.54  0.98
32 2024-05-08  100.07   98.96 -1.10 -0.12
33 2024-05-09  100.06  100.48  0.42  0.30
34 2024-05-10  100.01   99.28 -0.73 -0.43
35 2024-05-13   99.97  100.20  0.23 -0.20
36 2024-05-14  100.00  100.95  0.95  0.75
37 2024-05-15   99.95  100.35  0.40  1.15
38 2024-05-16   99.99   99.58 -0.41  0.74
39 2024-05-17  100.00  100.42  0.43  1.17
40 2024-05-20   99.95  101.38  1.43  2.60
41 2024-05-21   99.97   99.00 -0.97  1.63
42 2024-05-22   99.94   99.98  0.03  1.66
43 2024-05-23   99.80   98.84 -0.96  0.70
44 2024-05-24   99.96  100.85  0.88  1.58
45 2024-05-28   99.91  100.27  0.36  1.94
46 2024-05-29   99.88   97.93 -1.95 -0.01
Mean Absolute Error: 0.87%
Epoch: 533, Final Loss: 0.000105
Norm: 39.41
===
         date  predic  actual  diff   acc
0  2024-03-20  100.35  102.63  2.27  2.27
1  2024-03-21  100.05  100.95  0.90  3.17
2  2024-03-22   99.81   99.48 -0.33  2.84
3  2024-03-25   99.88   99.03 -0.85  1.99
4  2024-03-26   99.94  100.26  0.32  2.31
5  2024-03-27  100.06  100.38  0.32  2.63
6  2024-03-28   99.94   99.83 -0.11  2.52
7  2024-04-01   99.87   98.98 -0.90  1.62
8  2024-04-02   99.80   99.02 -0.79  0.83
9  2024-04-03   99.93  101.26  1.33  2.16
10 2024-04-04   99.73   97.85 -1.89  0.27
11 2024-04-05  100.05  100.56  0.51  0.78
12 2024-04-08   99.95  100.27  0.31  1.09
13 2024-04-09   99.92  100.27  0.35  1.44
14 2024-04-10   99.91   98.65 -1.26  0.18
15 2024-04-11   99.94  101.69  1.75  1.93
16 2024-04-12   99.77   98.26 -1.51  0.42
17 2024-04-15   99.93   99.12 -0.82 -0.40
18 2024-04-16   99.99   99.85 -0.14 -0.54
19 2024-04-17   99.89   97.77 -2.12 -2.66
20 2024-04-18   99.97   99.70 -0.27 -2.93
21 2024-04-19  100.00   98.80 -1.19 -4.12
22 2024-04-22  100.03  101.57  1.54 -2.58
23 2024-04-23  100.02  100.61  0.59 -1.99
24 2024-04-24   99.95   99.70 -0.26 -2.25
25 2024-04-25   99.84   99.67 -0.17 -2.42
26 2024-04-29  100.08  101.52  1.44 -0.98
27 2024-04-30   99.86   99.28 -0.59 -1.57
28 2024-05-01   99.70   99.92  0.23 -1.34
29 2024-05-06  100.19  102.21  2.02  0.68
30 2024-05-07  100.01   99.48 -0.52  0.16
31 2024-05-08  100.05   98.96 -1.09 -0.93
32 2024-05-09  100.04  100.48  0.43 -0.50
33 2024-05-10   99.99   99.28 -0.71 -1.21
34 2024-05-13   99.95  100.20  0.25 -0.96
35 2024-05-14   99.98  100.95  0.97  0.01
36 2024-05-15   99.92  100.35  0.42  0.43
37 2024-05-16   99.97   99.58 -0.39  0.04
38 2024-05-17   99.98  100.42  0.45  0.49
39 2024-05-20   99.92  101.38  1.46  1.95
40 2024-05-21   99.95   99.00 -0.95  1.00
41 2024-05-22   99.91   99.98  0.06  1.06
42 2024-05-23   99.75   98.84 -0.91  0.15
43 2024-05-24   99.94  100.85  0.91  1.06
44 2024-05-28   99.88  100.27  0.40  1.46
45 2024-05-29   99.84   97.93 -1.91 -0.45
46 2024-05-30   99.76  100.13  0.37 -0.08
Mean Absolute Error: 0.84%
Epoch: 335, Final Loss: 0.000099
Norm: 55.42
===
         date  predic  actual  diff   acc
0  2024-03-21  100.01  100.95  0.93  0.93
1  2024-03-22   99.81   99.48 -0.33  0.60
2  2024-03-25   99.87   99.03 -0.84 -0.24
3  2024-03-26   99.92  100.26  0.34  0.10
4  2024-03-27  100.02  100.38  0.36  0.46
5  2024-03-28   99.92   99.83 -0.09  0.37
6  2024-04-01   99.87   98.98 -0.89 -0.52
7  2024-04-02   99.81   99.02 -0.79 -1.31
8  2024-04-03   99.91  101.26  1.35  0.04
9  2024-04-04   99.75   97.85 -1.90 -1.86
10 2024-04-05  100.01  100.56  0.55 -1.31
11 2024-04-08   99.93  100.27  0.33 -0.98
12 2024-04-09   99.90  100.27  0.36 -0.62
13 2024-04-10   99.90   98.65 -1.25 -1.87
14 2024-04-11   99.92  101.69  1.77 -0.10
15 2024-04-12   99.78   98.26 -1.52 -1.62
16 2024-04-15   99.92   99.12 -0.80 -2.42
17 2024-04-16   99.96   99.85 -0.11 -2.53
18 2024-04-17   99.88   97.77 -2.11 -4.64
19 2024-04-18   99.94   99.70 -0.25 -4.89
20 2024-04-19   99.97   98.80 -1.16 -6.05
21 2024-04-22  100.00  101.57  1.57 -4.48
22 2024-04-23   99.99  100.61  0.62 -3.86
23 2024-04-24   99.93   99.70 -0.24 -4.10
24 2024-04-25   99.84   99.67 -0.17 -4.27
25 2024-04-29  100.04  101.52  1.48 -2.79
26 2024-04-30   99.86   99.28 -0.58 -3.37
27 2024-05-01   99.72   99.92  0.21 -3.16
28 2024-05-06  100.13  102.21  2.08 -1.08
29 2024-05-07   99.98   99.48 -0.49 -1.57
30 2024-05-08  100.02   98.96 -1.06 -2.63
31 2024-05-09  100.01  100.48  0.47 -2.16
32 2024-05-10   99.96   99.28 -0.69 -2.85
33 2024-05-13   99.93  100.20  0.27 -2.58
34 2024-05-14   99.96  100.95  0.99 -1.59
35 2024-05-15   99.91  100.35  0.44 -1.15
36 2024-05-16   99.95   99.58 -0.37 -1.52
37 2024-05-17   99.95  100.42  0.47 -1.05
38 2024-05-20   99.91  101.38  1.48  0.43
39 2024-05-21   99.93   99.00 -0.93 -0.50
40 2024-05-22   99.90   99.98  0.08 -0.42
41 2024-05-23   99.76   98.84 -0.92 -1.34
42 2024-05-24   99.92  100.85  0.93 -0.41
43 2024-05-28   99.87  100.27  0.40 -0.01
44 2024-05-29   99.84   97.93 -1.91 -1.92
45 2024-05-30   99.77  100.13  0.35 -1.57
46 2024-05-31  100.12  101.66  1.54 -0.03
Mean Absolute Error: 0.82%
Epoch: 552, Final Loss: 0.000096
Norm: 86.25
===
         date  predic  actual  diff   acc
0  2024-03-22   99.79   99.48 -0.31 -0.31
1  2024-03-25   99.85   99.03 -0.82 -1.13
2  2024-03-26   99.90  100.26  0.36 -0.77
3  2024-03-27  100.00  100.38  0.38 -0.39
4  2024-03-28   99.90   99.83 -0.07 -0.46
5  2024-04-01   99.85   98.98 -0.87 -1.33
6  2024-04-02   99.79   99.02 -0.77 -2.10
7  2024-04-03   99.89  101.26  1.37 -0.73
8  2024-04-04   99.73   97.85 -1.88 -2.61
9  2024-04-05   99.99  100.56  0.57 -2.04
10 2024-04-08   99.91  100.27  0.35 -1.69
11 2024-04-09   99.88  100.27  0.38 -1.31
12 2024-04-10   99.88   98.65 -1.23 -2.54
13 2024-04-11   99.90  101.69  1.79 -0.75
14 2024-04-12   99.76   98.26 -1.50 -2.25
15 2024-04-15   99.90   99.12 -0.78 -3.03
16 2024-04-16   99.94   99.85 -0.09 -3.12
17 2024-04-17   99.86   97.77 -2.09 -5.21
18 2024-04-18   99.92   99.70 -0.23 -5.44
19 2024-04-19   99.95   98.80 -1.14 -6.58
20 2024-04-22   99.98  101.57  1.59 -4.99
21 2024-04-23   99.97  100.61  0.64 -4.35
22 2024-04-24   99.91   99.70 -0.22 -4.57
23 2024-04-25   99.82   99.67 -0.15 -4.72
24 2024-04-29  100.02  101.52  1.50 -3.22
25 2024-04-30   99.84   99.28 -0.56 -3.78
26 2024-05-01   99.70   99.92  0.23 -3.55
27 2024-05-06  100.11  102.21  2.10 -1.45
28 2024-05-07   99.96   99.48 -0.48 -1.93
29 2024-05-08  100.00   98.96 -1.04 -2.97
30 2024-05-09   99.99  100.48  0.49 -2.48
31 2024-05-10   99.95   99.28 -0.67 -3.15
32 2024-05-13   99.91  100.20  0.29 -2.86
33 2024-05-14   99.94  100.95  1.01 -1.85
34 2024-05-15   99.89  100.35  0.46 -1.39
35 2024-05-16   99.93   99.58 -0.35 -1.74
36 2024-05-17   99.93  100.42  0.49 -1.25
37 2024-05-20   99.89  101.38  1.50  0.25
38 2024-05-21   99.91   99.00 -0.91 -0.66
39 2024-05-22   99.88   99.98  0.10 -0.56
40 2024-05-23   99.74   98.84 -0.90 -1.46
41 2024-05-24   99.90  100.85  0.95 -0.51
42 2024-05-28   99.85  100.27  0.42 -0.09
43 2024-05-29   99.82   97.93 -1.89 -1.98
44 2024-05-30   99.75  100.13  0.37 -1.61
45 2024-05-31  100.10  101.66  1.56 -0.05
46 2024-06-03   99.77   99.80  0.03 -0.02
Mean Absolute Error: 0.81%
Epoch: 569, Final Loss: 0.000094
Norm: 96.05
===
         date  predic  actual  diff   acc
0  2024-03-25   99.86   99.03 -0.83 -0.83
1  2024-03-26   99.91  100.26  0.36 -0.47
2  2024-03-27  100.01  100.38  0.37 -0.10
3  2024-03-28   99.91   99.83 -0.07 -0.17
4  2024-04-01   99.85   98.98 -0.87 -1.04
5  2024-04-02   99.79   99.02 -0.78 -1.82
6  2024-04-03   99.90  101.26  1.36 -0.46
7  2024-04-04   99.73   97.85 -1.89 -2.35
8  2024-04-05  100.00  100.56  0.56 -1.79
9  2024-04-08   99.92  100.27  0.35 -1.44
10 2024-04-09   99.89  100.27  0.38 -1.06
11 2024-04-10   99.88   98.65 -1.24 -2.30
12 2024-04-11   99.91  101.69  1.78 -0.52
13 2024-04-12   99.76   98.26 -1.50 -2.02
14 2024-04-15   99.90   99.12 -0.78 -2.80
15 2024-04-16   99.95   99.85 -0.10 -2.90
16 2024-04-17   99.86   97.77 -2.10 -5.00
17 2024-04-18   99.93   99.70 -0.23 -5.23
18 2024-04-19   99.95   98.80 -1.15 -6.38
19 2024-04-22   99.99  101.57  1.58 -4.80
20 2024-04-23   99.97  100.61  0.64 -4.16
21 2024-04-24   99.92   99.70 -0.22 -4.38
22 2024-04-25   99.82   99.67 -0.15 -4.53
23 2024-04-29  100.03  101.52  1.49 -3.04
24 2024-04-30   99.84   99.28 -0.57 -3.61
25 2024-05-01   99.70   99.92  0.23 -3.38
26 2024-05-06  100.12  102.21  2.09 -1.29
27 2024-05-07   99.96   99.48 -0.48 -1.77
28 2024-05-08  100.00   98.96 -1.04 -2.81
29 2024-05-09   99.99  100.48  0.48 -2.33
30 2024-05-10   99.95   99.28 -0.67 -3.00
31 2024-05-13   99.91  100.20  0.29 -2.71
32 2024-05-14   99.94  100.95  1.01 -1.70
33 2024-05-15   99.89  100.35  0.46 -1.24
34 2024-05-16   99.93   99.58 -0.35 -1.59
35 2024-05-17   99.94  100.42  0.49 -1.10
36 2024-05-20   99.89  101.38  1.49  0.39
37 2024-05-21   99.91   99.00 -0.91 -0.52
38 2024-05-22   99.88   99.98  0.09 -0.43
39 2024-05-23   99.75   98.84 -0.90 -1.33
40 2024-05-24   99.91  100.85  0.94 -0.39
41 2024-05-28   99.85  100.27  0.42  0.03
42 2024-05-29   99.82   97.93 -1.89 -1.86
43 2024-05-30   99.75  100.13  0.37 -1.49
44 2024-05-31  100.10  101.66  1.55  0.06
45 2024-06-03   99.77   99.80  0.03  0.09
46 2024-06-04   99.85   99.73 -0.12 -0.03
Mean Absolute Error: 0.80%
Epoch: 595, Final Loss: 0.000093
Norm: 93.80
===
         date  predic  actual  diff   acc
0  2024-03-26   99.95  100.26  0.31  0.31
1  2024-03-27  100.08  100.38  0.30  0.61
2  2024-03-28   99.95   99.83 -0.12  0.49
3  2024-04-01   99.88   98.98 -0.90 -0.41
4  2024-04-02   99.80   99.02 -0.79 -1.20
5  2024-04-03   99.94  101.26  1.32  0.12
6  2024-04-04   99.72   97.85 -1.88 -1.76
7  2024-04-05  100.06  100.56  0.50 -1.26
8  2024-04-08   99.96  100.27  0.31 -0.95
9  2024-04-09   99.92  100.27  0.34 -0.61
10 2024-04-10   99.91   98.65 -1.27 -1.88
11 2024-04-11   99.95  101.69  1.74 -0.14
12 2024-04-12   99.77   98.26 -1.51 -1.65
13 2024-04-15   99.94   99.12 -0.82 -2.47
14 2024-04-16  100.00   99.85 -0.15 -2.62
15 2024-04-17   99.89   97.77 -2.12 -4.74
16 2024-04-18   99.98   99.70 -0.28 -5.02
17 2024-04-19  100.01   98.80 -1.20 -6.22
18 2024-04-22  100.05  101.57  1.52 -4.70
19 2024-04-23  100.03  100.61  0.58 -4.12
20 2024-04-24   99.96   99.70 -0.27 -4.39
21 2024-04-25   99.84   99.67 -0.17 -4.56
22 2024-04-29  100.10  101.52  1.42 -3.14
23 2024-04-30   99.86   99.28 -0.59 -3.73
24 2024-05-01   99.69   99.92  0.24 -3.49
25 2024-05-06  100.22  102.21  1.99 -1.50
26 2024-05-07  100.02   99.48 -0.54 -2.04
27 2024-05-08  100.07   98.96 -1.11 -3.15
28 2024-05-09  100.06  100.48  0.42 -2.73
29 2024-05-10  100.00   99.28 -0.72 -3.45
30 2024-05-13   99.95  100.20  0.25 -3.20
31 2024-05-14  100.00  100.95  0.96 -2.24
32 2024-05-15   99.93  100.35  0.42 -1.82
33 2024-05-16   99.98   99.58 -0.40 -2.22
34 2024-05-17   99.99  100.42  0.44 -1.78
35 2024-05-20   99.93  101.38  1.46 -0.32
36 2024-05-21   99.95   99.00 -0.95 -1.27
37 2024-05-22   99.92   99.98  0.06 -1.21
38 2024-05-23   99.74   98.84 -0.90 -2.11
39 2024-05-24   99.95  100.85  0.90 -1.21
40 2024-05-28   99.88  100.27  0.39 -0.82
41 2024-05-29   99.84   97.93 -1.91 -2.73
42 2024-05-30   99.76  100.13  0.37 -2.36
43 2024-05-31  100.20  101.66  1.46 -0.90
44 2024-06-03   99.78   99.80  0.02 -0.88
45 2024-06-04   99.88   99.73 -0.15 -1.03
46 2024-06-05  100.09  101.09  1.00 -0.03
Mean Absolute Error: 0.80%
Epoch: 320, Final Loss: 0.000092
Norm: 90.63
===
         date  predic  actual  diff   acc
0  2024-03-27  100.00  100.38  0.38  0.38
1  2024-03-28   99.92   99.83 -0.09  0.29
2  2024-04-01   99.88   98.98 -0.90 -0.61
3  2024-04-02   99.83   99.02 -0.82 -1.43
4  2024-04-03   99.91  101.26  1.35 -0.08
5  2024-04-04   99.78   97.85 -1.94 -2.02
6  2024-04-05   99.99  100.56  0.57 -1.45
7  2024-04-08   99.93  100.27  0.34 -1.11
8  2024-04-09   99.91  100.27  0.36 -0.75
9  2024-04-10   99.90   98.65 -1.26 -2.01
10 2024-04-11   99.92  101.69  1.77 -0.24
11 2024-04-12   99.81   98.26 -1.55 -1.79
12 2024-04-15   99.92   99.12 -0.80 -2.59
13 2024-04-16   99.95   99.85 -0.10 -2.69
14 2024-04-17   99.89   97.77 -2.12 -4.81
15 2024-04-18   99.94   99.70 -0.24 -5.05
16 2024-04-19   99.96   98.80 -1.15 -6.20
17 2024-04-22   99.98  101.57  1.59 -4.61
18 2024-04-23   99.97  100.61  0.64 -3.97
19 2024-04-24   99.93   99.70 -0.23 -4.20
20 2024-04-25   99.85   99.67 -0.18 -4.38
21 2024-04-29  100.01  101.52  1.51 -2.87
22 2024-04-30   99.87   99.28 -0.59 -3.46
23 2024-05-01   99.76   99.92  0.17 -3.29
24 2024-05-06  100.08  102.21  2.13 -1.16
25 2024-05-07   99.96   99.48 -0.48 -1.64
26 2024-05-08   99.99   98.96 -1.03 -2.67
27 2024-05-09   99.99  100.48  0.49 -2.18
28 2024-05-10   99.95   99.28 -0.68 -2.86
29 2024-05-13   99.92  100.20  0.28 -2.58
30 2024-05-14   99.95  100.95  1.00 -1.58
31 2024-05-15   99.91  100.35  0.44 -1.14
32 2024-05-16   99.94   99.58 -0.36 -1.50
33 2024-05-17   99.94  100.42  0.48 -1.02
34 2024-05-20   99.91  101.38  1.48  0.46
35 2024-05-21   99.92   99.00 -0.92 -0.46
36 2024-05-22   99.90   99.98  0.07 -0.39
37 2024-05-23   99.80   98.84 -0.95 -1.34
38 2024-05-24   99.92  100.85  0.93 -0.41
39 2024-05-28   99.88  100.27  0.39 -0.02
40 2024-05-29   99.85   97.93 -1.93 -1.95
41 2024-05-30   99.80  100.13  0.32 -1.63
42 2024-05-31  100.07  101.66  1.59 -0.04
43 2024-06-03   99.82   99.80 -0.02 -0.06
44 2024-06-04   99.88   99.73 -0.15 -0.21
45 2024-06-05  100.00  101.09  1.09  0.88
46 2024-06-06   99.90   99.09 -0.81  0.07
Mean Absolute Error: 0.82%
Epoch: 870, Final Loss: 0.000097
Norm: 88.56
===
         date  predic  actual  diff   acc
0  2024-03-28   99.92   99.83 -0.09 -0.09
1  2024-04-01   99.86   98.98 -0.88 -0.97
2  2024-04-02   99.79   99.02 -0.78 -1.75
3  2024-04-03   99.91  101.26  1.35 -0.40
4  2024-04-04   99.73   97.85 -1.88 -2.28
5  2024-04-05  100.02  100.56  0.55 -1.73
6  2024-04-08   99.93  100.27  0.34 -1.39
7  2024-04-09   99.90  100.27  0.37 -1.02
8  2024-04-10   99.89   98.65 -1.24 -2.26
9  2024-04-11   99.92  101.69  1.77 -0.49
10 2024-04-12   99.76   98.26 -1.50 -1.99
11 2024-04-15   99.91   99.12 -0.80 -2.79
12 2024-04-16   99.96   99.85 -0.11 -2.90
13 2024-04-17   99.87   97.77 -2.10 -5.00
14 2024-04-18   99.94   99.70 -0.25 -5.25
15 2024-04-19   99.97   98.80 -1.16 -6.41
16 2024-04-22  100.00  101.57  1.57 -4.84
17 2024-04-23   99.99  100.61  0.62 -4.22
18 2024-04-24   99.93   99.70 -0.23 -4.45
19 2024-04-25   99.83   99.67 -0.15 -4.60
20 2024-04-29  100.05  101.52  1.47 -3.13
21 2024-04-30   99.85   99.28 -0.57 -3.70
22 2024-05-01   99.69   99.92  0.23 -3.47
23 2024-05-06  100.15  102.21  2.07 -1.40
24 2024-05-07   99.98   99.48 -0.50 -1.90
25 2024-05-08  100.02   98.96 -1.06 -2.96
26 2024-05-09  100.01  100.48  0.46 -2.50
27 2024-05-10   99.96   99.28 -0.69 -3.19
28 2024-05-13   99.92  100.20  0.28 -2.91
29 2024-05-14   99.96  100.95  0.99 -1.92
30 2024-05-15   99.90  100.35  0.45 -1.47
31 2024-05-16   99.95   99.58 -0.37 -1.84
32 2024-05-17   99.95  100.42  0.47 -1.37
33 2024-05-20   99.90  101.38  1.48  0.11
34 2024-05-21   99.92   99.00 -0.92 -0.81
35 2024-05-22   99.89   99.98  0.08 -0.73
36 2024-05-23   99.74   98.84 -0.90 -1.63
37 2024-05-24   99.92  100.85  0.93 -0.70
38 2024-05-28   99.86  100.27  0.41 -0.29
39 2024-05-29   99.83   97.93 -1.90 -2.19
40 2024-05-30   99.75  100.13  0.37 -1.82
41 2024-05-31  100.13  101.66  1.53 -0.29
42 2024-06-03   99.78   99.80  0.03 -0.26
43 2024-06-04   99.86   99.73 -0.13 -0.39
44 2024-06-05  100.04  101.09  1.06  0.67
45 2024-06-06   99.89   99.09 -0.80 -0.13
46 2024-06-07   99.97  100.07  0.10 -0.03
Mean Absolute Error: 0.81%
Epoch: 445, Final Loss: 0.000094
Norm: 90.11
===
         date  predic  actual  diff   acc
0  2024-04-01   99.89   98.98 -0.91 -0.91
1  2024-04-02   99.82   99.02 -0.81 -1.72
2  2024-04-03   99.94  101.26  1.32 -0.40
3  2024-04-04   99.76   97.85 -1.91 -2.31
4  2024-04-05  100.05  100.56  0.52 -1.79
5  2024-04-08   99.96  100.27  0.31 -1.48
6  2024-04-09   99.93  100.27  0.34 -1.14
7  2024-04-10   99.92   98.65 -1.27 -2.41
8  2024-04-11   99.95  101.69  1.74 -0.67
9  2024-04-12   99.79   98.26 -1.53 -2.20
10 2024-04-15   99.94   99.12 -0.82 -3.02
11 2024-04-16   99.99   99.85 -0.14 -3.16
12 2024-04-17   99.90   97.77 -2.13 -5.29
13 2024-04-18   99.97   99.70 -0.27 -5.56
14 2024-04-19  100.00   98.80 -1.19 -6.75
15 2024-04-22  100.03  101.57  1.54 -5.21
16 2024-04-23  100.02  100.61  0.59 -4.62
17 2024-04-24   99.96   99.70 -0.26 -4.88
18 2024-04-25   99.86   99.67 -0.18 -5.06
19 2024-04-29  100.08  101.52  1.44 -3.62
20 2024-04-30   99.88   99.28 -0.60 -4.22
21 2024-05-01   99.72   99.92  0.20 -4.02
22 2024-05-06  100.18  102.21  2.04 -1.98
23 2024-05-07  100.01   99.48 -0.52 -2.50
24 2024-05-08  100.05   98.96 -1.09 -3.59
25 2024-05-09  100.04  100.48  0.43 -3.16
26 2024-05-10   99.99   99.28 -0.72 -3.88
