7/1/2024, 12:43:46 AM
      date predic actual  diff   acc
2024-02-21 100.02 101.49  1.45  1.45
2024-02-23 100.45 101.42  0.96  2.40
2024-02-26  99.94  99.76 -0.18  2.22
2024-02-27  99.91 100.00  0.09  2.31
2024-02-28  99.98  99.26 -0.73  1.59
2024-02-29 100.07 100.96  0.89  2.47
2024-03-01 100.12 102.43  2.25  4.73
2024-03-04  99.87  99.21 -0.67  4.06
2024-03-05  99.63  99.69  0.06  4.11
2024-03-06 100.12 101.43  1.28  5.40
2024-03-07 100.19  98.28 -1.94  3.46
2024-03-08 100.01  98.28 -1.76  1.70
2024-03-11 100.04  98.67 -1.40  0.30
2024-03-12 100.18 101.78  1.57  1.88
2024-03-13 100.03  98.50 -1.56  0.32
2024-03-14  99.86  99.83 -0.04  0.28
2024-03-15  99.66 101.15  1.48  1.76
2024-03-18 100.06 101.53  1.45  3.21
2024-03-20 100.52 102.63  2.06  5.26
2024-03-21 100.23 100.95  0.72  5.98
2024-03-22  99.71  99.48 -0.22  5.76
2024-03-25  99.85  99.03 -0.83  4.93
2024-03-26  99.98 100.26  0.28  5.21
2024-03-27 100.42 100.38 -0.04  5.17
2024-03-28 100.01  99.83 -0.18  4.99
2024-04-01  99.76  98.98 -0.78  4.21
2024-04-02  99.65  99.02 -0.64  3.57
2024-04-03  99.96 101.26  1.29  4.86
2024-04-04  99.50  97.85 -1.69  3.17
2024-04-05 100.24 100.56  0.32  3.49
2024-04-08 100.01 100.27  0.25  3.74
2024-04-09  99.98 100.27  0.29  4.03
2024-04-10  99.49  98.65 -0.85  3.18
2024-04-11 100.00 101.69  1.67  4.85
2024-04-12  99.53  98.26 -1.29  3.56
2024-04-15  99.69  99.12 -0.58  2.98
2024-04-16 100.04  99.85 -0.19  2.79
2024-04-17  99.96  97.77 -2.25  0.55
2024-04-18 100.02  99.70 -0.33  0.22
2024-04-19 100.18  98.80 -1.39 -1.18
2024-04-22 100.23 101.57  1.32  0.15
2024-04-23 100.24 100.61  0.36  0.51
2024-04-24  99.92  99.70 -0.22  0.29
2024-04-25  99.63  99.67  0.04  0.33
2024-04-29 100.23 101.52  1.27  1.60
2024-04-30  99.33  99.28 -0.06  1.54
2024-05-01 100.22  99.92 -0.30  1.24
Mean Absolute Error: 0.88%
Epoch: 500000 BatchSize: 47
Norm: 33.84
===
      date predic actual  diff   acc
2024-02-23 100.76 101.42  0.65  0.65
2024-02-26  99.91  99.76 -0.16  0.49
2024-02-27  99.87 100.00  0.13  0.63
2024-02-28 100.00  99.26 -0.74 -0.11
2024-02-29 100.14 100.96  0.82  0.70
2024-03-01 100.23 102.43  2.15  2.85
2024-03-04  99.80  99.21 -0.60  2.25
2024-03-05  99.35  99.69  0.33  2.59
2024-03-06 100.23 101.43  1.18  3.76
2024-03-07 100.33  98.28 -2.09  1.68
2024-03-08 100.04  98.28 -1.79 -0.12
2024-03-11 100.10  98.67 -1.45 -1.57
2024-03-12 100.33 101.78  1.42 -0.14
2024-03-13 100.08  98.50 -1.61 -1.75
2024-03-14  99.78  99.83  0.05 -1.70
2024-03-15  99.41 101.15  1.72  0.02
2024-03-18 100.13 101.53  1.38  1.40
2024-03-20 100.88 102.63  1.71  3.11
2024-03-21 100.41 100.95  0.54  3.64
2024-03-22  99.49  99.48 -0.01  3.63
2024-03-25  99.76  99.03 -0.74  2.90
2024-03-26  99.99 100.26  0.27  3.17
2024-03-27 100.71 100.38 -0.33  2.84
2024-03-28 100.05  99.83 -0.22  2.62
2024-04-01  99.59  98.98 -0.62  2.00
2024-04-02  99.39  99.02 -0.37  1.63
2024-04-03  99.95 101.26  1.29  2.92
2024-04-04  99.10  97.85 -1.28  1.64
2024-04-05 100.43 100.56  0.13  1.77
2024-04-08 100.05 100.27  0.22  1.99
2024-04-09  99.99 100.27  0.28  2.27
2024-04-10  99.09  98.65 -0.45  1.82
2024-04-11 100.02 101.69  1.65  3.47
2024-04-12  99.17  98.26 -0.92  2.55
2024-04-15  99.47  99.12 -0.35  2.20
2024-04-16 100.10  99.85 -0.25  1.95
2024-04-17  99.96  97.77 -2.24 -0.29
2024-04-18 100.07  99.70 -0.37 -0.66
2024-04-19 100.33  98.80 -1.55 -2.21
2024-04-22 100.41 101.57  1.15 -1.06
2024-04-23 100.43 100.61  0.17 -0.89
2024-04-24  99.88  99.70 -0.18 -1.07
2024-04-25  99.36  99.67  0.31 -0.76
2024-04-29 100.41 101.52  1.09  0.33
2024-04-30  98.78  99.28  0.50  0.83
2024-05-01 100.40  99.92 -0.47  0.36
2024-05-06 101.31 102.21  0.88  1.24
Mean Absolute Error: 0.83%
Epoch: 500000 BatchSize: 47
Norm: 57.73
===
      date predic actual  diff   acc
2024-02-26  99.89  99.76 -0.14 -0.14
2024-02-27  99.86 100.00  0.14  0.00
2024-02-28  99.96  99.26 -0.70 -0.70
2024-02-29 100.10 100.96  0.86  0.16
2024-03-01 100.15 102.43  2.22  2.37
2024-03-04  99.80  99.21 -0.59  1.78
2024-03-05  99.45  99.69  0.23  2.02
2024-03-06 100.17 101.43  1.24  3.25
2024-03-07 100.27  98.28 -2.02  1.23
2024-03-08 100.02  98.28 -1.77 -0.54
2024-03-11 100.05  98.67 -1.40 -1.95
2024-03-12 100.23 101.78  1.52 -0.43
2024-03-13 100.03  98.50 -1.56 -1.98
2024-03-14  99.78  99.83  0.05 -1.93
2024-03-15  99.47 101.15  1.66 -0.28
2024-03-18 100.07 101.53  1.44  1.16
2024-03-20 100.68 102.63  1.90  3.06
2024-03-21 100.30 100.95  0.64  3.70
2024-03-22  99.56  99.48 -0.08  3.62
2024-03-25  99.77  99.03 -0.75  2.87
2024-03-26  99.96 100.26  0.30  3.18
2024-03-27 100.57 100.38 -0.19  2.98
2024-03-28 100.01  99.83 -0.17  2.81
2024-04-01  99.63  98.98 -0.66  2.15
2024-04-02  99.47  99.02 -0.46  1.69
2024-04-03  99.92 101.26  1.32  3.01
2024-04-04  99.25  97.85 -1.44  1.57
2024-04-05 100.32 100.56  0.24  1.81
2024-04-08 100.00 100.27  0.26  2.07
2024-04-09  99.96 100.27  0.31  2.38
2024-04-10  99.20  98.65 -0.56  1.82
2024-04-11  99.98 101.69  1.68  3.50
2024-04-12  99.30  98.26 -1.05  2.45
2024-04-15  99.51  99.12 -0.40  2.05
2024-04-16 100.04  99.85 -0.19  1.86
2024-04-17  99.94  97.77 -2.22 -0.36
2024-04-18 100.02  99.70 -0.32 -0.68
2024-04-19 100.25  98.80 -1.46 -2.14
2024-04-22 100.30 101.57  1.25 -0.90
2024-04-23 100.33 100.61  0.28 -0.62
2024-04-24  99.86  99.70 -0.16 -0.78
2024-04-25  99.44  99.67  0.23 -0.56
2024-04-29 100.30 101.52  1.20  0.64
2024-04-30  98.96  99.28  0.32  0.96
2024-05-01 100.35  99.92 -0.42  0.54
2024-05-06 101.11 102.21  1.08  1.62
2024-05-07  99.96  99.48 -0.48  1.14
Mean Absolute Error: 0.84%
Epoch: 500000 BatchSize: 47
Norm: 56.25
===
      date predic actual  diff   acc
2024-02-27  99.86 100.00  0.14  0.14
2024-02-28  99.93  99.26 -0.68 -0.53
2024-02-29 100.06 100.96  0.90  0.37
2024-03-01 100.10 102.43  2.27  2.64
2024-03-04  99.79  99.21 -0.58  2.05
2024-03-05  99.52  99.69  0.17  2.22
2024-03-06 100.13 101.43  1.28  3.51
2024-03-07 100.22  98.28 -1.97  1.54
2024-03-08 100.00  98.28 -1.75 -0.21
2024-03-11 100.01  98.67 -1.37 -1.58
2024-03-12 100.15 101.78  1.59  0.02
2024-03-13  99.99  98.50 -1.52 -1.50
2024-03-14  99.77  99.83  0.05 -1.45
2024-03-15  99.51 101.15  1.62  0.17
2024-03-18 100.03 101.53  1.48  1.65
2024-03-20 100.53 102.63  2.05  3.70
2024-03-21 100.22 100.95  0.72  4.42
2024-03-22  99.60  99.48 -0.12  4.30
2024-03-25  99.78  99.03 -0.75  3.55
2024-03-26  99.93 100.26  0.33  3.88
2024-03-27 100.46 100.38 -0.08  3.79
2024-03-28  99.97  99.83 -0.14  3.65
2024-04-01  99.65  98.98 -0.68  2.97
2024-04-02  99.53  99.02 -0.52  2.46
2024-04-03  99.90 101.26  1.34  3.80
2024-04-04  99.35  97.85 -1.54  2.26
2024-04-05 100.24 100.56  0.32  2.58
2024-04-08  99.97 100.27  0.30  2.88
2024-04-09  99.93 100.27  0.33  3.21
2024-04-10  99.28  98.65 -0.64  2.57
2024-04-11  99.95 101.69  1.71  4.29
2024-04-12  99.38  98.26 -1.14  3.15
2024-04-15  99.54  99.12 -0.43  2.72
2024-04-16 100.00  99.85 -0.15  2.57
2024-04-17  99.92  97.77 -2.20  0.37
2024-04-18  99.98  99.70 -0.28  0.09
2024-04-19 100.18  98.80 -1.39 -1.31
2024-04-22 100.22 101.57  1.32  0.02
2024-04-23 100.25 100.61  0.36  0.38
2024-04-24  99.84  99.70 -0.15  0.23
2024-04-25  99.50  99.67  0.17  0.40
2024-04-29 100.22 101.52  1.28  1.69
2024-04-30  99.08  99.28  0.20  1.88
2024-05-01 100.31  99.92 -0.38  1.50
2024-05-06 100.95 102.21  1.24  2.74
2024-05-07  99.92  99.48 -0.44  2.31
2024-05-08 100.08  98.96 -1.13  1.18
Mean Absolute Error: 0.88%
Epoch: 500000 BatchSize: 47
Norm: 45.92
===
      date predic actual  diff   acc
2024-02-28  99.93  99.26 -0.68 -0.68
2024-02-29 100.07 100.96  0.89  0.21
2024-03-01 100.11 102.43  2.26  2.47
2024-03-04  99.78  99.21 -0.57  1.90
2024-03-05  99.48  99.69  0.21  2.10
2024-03-06 100.14 101.43  1.27  3.37
2024-03-07 100.24  98.28 -1.99  1.39
2024-03-08 100.00  98.28 -1.76 -0.37
2024-03-11 100.02  98.67 -1.37 -1.74
2024-03-12 100.17 101.78  1.58 -0.17
2024-03-13 100.00  98.50 -1.52 -1.69
2024-03-14  99.76  99.83  0.07 -1.62
2024-03-15  99.48 101.15  1.65  0.03
2024-03-18 100.04 101.53  1.47  1.50
2024-03-20 100.58 102.63  2.00  3.50
2024-03-21 100.24 100.95  0.70  4.20
2024-03-22  99.57  99.48 -0.09  4.11
2024-03-25  99.76  99.03 -0.74  3.37
2024-03-26  99.93 100.26  0.33  3.70
2024-03-27 100.50 100.38 -0.12  3.58
2024-03-28  99.98  99.83 -0.14  3.43
2024-04-01  99.63  98.98 -0.66  2.78
2024-04-02  99.49  99.02 -0.48  2.30
2024-04-03  99.90 101.26  1.34  3.64
2024-04-04  99.30  97.85 -1.48  2.16
2024-04-05 100.27 100.56  0.29  2.45
2024-04-08  99.97 100.27  0.30  2.75
2024-04-09  99.93 100.27  0.33  3.08
2024-04-10  99.22  98.65 -0.59  2.49
2024-04-11  99.95 101.69  1.71  4.20
2024-04-12  99.33  98.26 -1.09  3.12
2024-04-15  99.51  99.12 -0.40  2.72
2024-04-16 100.00  99.85 -0.15  2.57
2024-04-17  99.92  97.77 -2.20  0.37
2024-04-18  99.98  99.70 -0.29  0.08
2024-04-19 100.20  98.80 -1.41 -1.33
2024-04-22 100.25 101.57  1.30 -0.03
2024-04-23 100.27 100.61  0.33  0.30
2024-04-24  99.84  99.70 -0.14  0.16
2024-04-25  99.46  99.67  0.21  0.37
2024-04-29 100.24 101.52  1.26  1.63
2024-04-30  99.01  99.28  0.27  1.90
2024-05-01 100.33  99.92 -0.40  1.50
2024-05-06 101.01 102.21  1.18  2.67
2024-05-07  99.92  99.48 -0.44  2.24
2024-05-08 100.09  98.96 -1.14  1.09
2024-05-09 100.36 100.48  0.11  1.20
Mean Absolute Error: 0.87%
Epoch: 500000 BatchSize: 47
Norm: 49.49
===
      date predic actual  diff   acc
2024-02-29 100.07 100.96  0.88  0.88
2024-03-01 100.13 102.43  2.25  3.13
2024-03-04  99.76  99.21 -0.55  2.58
2024-03-05  99.41  99.69  0.28  2.85
2024-03-06 100.15 101.43  1.26  4.11
2024-03-07 100.25  98.28 -2.00  2.11
2024-03-08  99.99  98.28 -1.75  0.36
2024-03-11 100.02  98.67 -1.37 -1.01
2024-03-12 100.20 101.78  1.55  0.54
2024-03-13 100.00  98.50 -1.53 -0.99
2024-03-14  99.74  99.83  0.09 -0.90
2024-03-15  99.43 101.15  1.70  0.81
2024-03-18 100.04 101.53  1.47  2.27
2024-03-20 100.66 102.63  1.92  4.19
2024-03-21 100.28 100.95  0.67  4.86
2024-03-22  99.52  99.48 -0.04  4.82
2024-03-25  99.73  99.03 -0.71  4.11
2024-03-26  99.93 100.26  0.34  4.45
2024-03-27 100.56 100.38 -0.17  4.27
2024-03-28  99.98  99.83 -0.14  4.13
2024-04-01  99.59  98.98 -0.61  3.52
2024-04-02  99.43  99.02 -0.42  3.10
2024-04-03  99.89 101.26  1.35  4.45
2024-04-04  99.20  97.85 -1.39  3.06
2024-04-05 100.30 100.56  0.26  3.32
2024-04-08  99.97 100.27  0.30  3.62
2024-04-09  99.93 100.27  0.34  3.96
2024-04-10  99.14  98.65 -0.50  3.46
2024-04-11  99.95 101.69  1.71  5.17
2024-04-12  99.25  98.26 -1.00  4.17
2024-04-15  99.46  99.12 -0.35  3.82
2024-04-16 100.01  99.85 -0.16  3.66
2024-04-17  99.91  97.77 -2.19  1.47
2024-04-18  99.99  99.70 -0.29  1.18
2024-04-19 100.22  98.80 -1.43 -0.25
2024-04-22 100.28 101.57  1.27  1.02
2024-04-23 100.31 100.61  0.30  1.32
2024-04-24  99.82  99.70 -0.13  1.19
2024-04-25  99.40  99.67  0.27  1.47
2024-04-29 100.28 101.52  1.23  2.69
2024-04-30  98.89  99.28  0.38  3.08
2024-05-01 100.34  99.92 -0.41  2.66
2024-05-06 101.10 102.21  1.09  3.75
2024-05-07  99.92  99.48 -0.44  3.31
2024-05-08 100.11  98.96 -1.16  2.15
2024-05-09 100.40 100.48  0.07  2.22
2024-05-10 100.09  99.28 -0.81  1.40
Mean Absolute Error: 0.86%
Epoch: 500000 BatchSize: 47
Norm: 39.03
===
      date predic actual  diff   acc
2024-03-01 100.10 102.43  2.27  2.27
2024-03-04  99.77  99.21 -0.56  1.71
2024-03-05  99.45  99.69  0.24  1.95
2024-03-06 100.12 101.43  1.29  3.24
2024-03-07 100.21  98.28 -1.96  1.28
2024-03-08  99.97  98.28 -1.72 -0.44
2024-03-11 100.00  98.67 -1.36 -1.80
2024-03-12 100.17 101.78  1.58 -0.22
2024-03-13  99.99  98.50 -1.51 -1.73
2024-03-14  99.75  99.83  0.08 -1.65
2024-03-15  99.47 101.15  1.66  0.01
2024-03-18 100.03 101.53  1.48  1.49
2024-03-20 100.60 102.63  1.98  3.47
2024-03-21 100.24 100.95  0.71  4.18
2024-03-22  99.55  99.48 -0.07  4.11
2024-03-25  99.74  99.03 -0.72  3.39
2024-03-26  99.92 100.26  0.34  3.74
2024-03-27 100.49 100.38 -0.11  3.63
2024-03-28  99.96  99.83 -0.13  3.50
2024-04-01  99.61  98.98 -0.64  2.86
2024-04-02  99.47  99.02 -0.46  2.40
2024-04-03  99.89 101.26  1.36  3.76
2024-04-04  99.27  97.85 -1.45  2.31
2024-04-05 100.26 100.56  0.30  2.61
2024-04-08  99.96 100.27  0.31  2.92
2024-04-09  99.92 100.27  0.35  3.27
2024-04-10  99.22  98.65 -0.58  2.69
2024-04-11  99.94 101.69  1.73  4.41
2024-04-12  99.31  98.26 -1.06  3.35
2024-04-15  99.51  99.12 -0.39  2.96
2024-04-16  99.99  99.85 -0.14  2.82
2024-04-17  99.90  97.77 -2.18  0.64
2024-04-18  99.97  99.70 -0.28  0.36
2024-04-19 100.19  98.80 -1.40 -1.04
2024-04-22 100.24 101.57  1.31  0.27
2024-04-23 100.26 100.61  0.34  0.61
2024-04-24  99.83  99.70 -0.13  0.48
2024-04-25  99.44  99.67  0.23  0.71
2024-04-29 100.24 101.52  1.26  1.98
2024-04-30  99.00  99.28  0.28  2.25
2024-05-01 100.28  99.92 -0.35  1.90
2024-05-06 101.01 102.21  1.18  3.08
2024-05-07  99.91  99.48 -0.43  2.65
2024-05-08 100.09  98.96 -1.14  1.51
2024-05-09 100.35 100.48  0.12  1.63
2024-05-10 100.06  99.28 -0.79  0.84
2024-05-13  99.81 100.20  0.39  1.22
Mean Absolute Error: 0.86%
Epoch: 500000 BatchSize: 47
Norm: 48.62
===
      date predic actual  diff   acc
2024-03-04  99.75  99.21 -0.54 -0.54
2024-03-05  99.41  99.69  0.27 -0.27
2024-03-06 100.09 101.43  1.32  1.05
2024-03-07 100.18  98.28 -1.93 -0.88
2024-03-08  99.94  98.28 -1.69 -2.57
2024-03-11  99.98  98.67 -1.33 -3.91
2024-03-12 100.16 101.78  1.59 -2.32
2024-03-13  99.97  98.50 -1.49 -3.81
2024-03-14  99.73  99.83  0.10 -3.71
2024-03-15  99.45 101.15  1.68 -2.03
2024-03-18 100.01 101.53  1.50 -0.53
2024-03-20 100.61 102.63  1.97  1.44
2024-03-21 100.23 100.95  0.72  2.16
2024-03-22  99.52  99.48 -0.03  2.13
2024-03-25  99.72  99.03 -0.69  1.43
2024-03-26  99.90 100.26  0.36  1.80
2024-03-27 100.48 100.38 -0.10  1.70
2024-03-28  99.94  99.83 -0.11  1.59
